,,                          THE PEPPER CONCERTS HISTORY PAGES:                       BY MATTHEW MINORS,,,,,,,,
,,,"Seperate bands with ""/"" try to remove white space where possible",,"Notes: To match songs to bands, they must be exactly like the are in the band col). Band is after the =
e.g ""Song = Band Name/Other Band Name/Person Name""","Format like: ""Person Name = Position""",,,,
SHOW,YEAR,BAND MEMBERS,BAND,INSTRUMENTS,SONGS,CREW ,MAIN COMMITTEE,COMMITTEE MEMBERS/HELPERS,HOSPICE HELPERS,DANCERS
Rock & Roll Years,1991,Kelvin Day,Lonely Hearts Club ,Keyboards,The Shadows Greatest (Lonely Herts Club Band),Ted Carroll (Assist Musical Director),,Richard House (Bar),,
Rock & Roll Years,1991,Will Williams,Lonely Hearts Club ,Keyboards,Simon & Garfunkel (Ashlyns School Choir + Band),Will Williams (Assist Musical Directo),,Sandy Byron and Friends (BBQ),,
Rock & Roll Years,1991,Michael Watson,Lonely Hearts Club ,Trumpet,Nights In White Satin (Benny Mitchell + Lonely Herts B),Mark Armstron (Brass Arrangement),,The Pennyfarthing (Champagne Rec),,
Rock & Roll Years,1991,Richard Dalton,Lonely Hearts Club ,Saxaphone,These Boots Are Made For Walking (The Odd Eccentric),Keith Roome (Rehersal Vocalist,,,,
Rock & Roll Years,1991,Miranda Higgins,Lonely Hearts Club ,Saxaphone,Suring USA (The Odd Eccentric),,,,,
Rock & Roll Years,1991,Sam Sharp,Lonely Hearts Club ,Saxaphone,One Fine Day/It's In His Kiss (The Pepperonis +Lonely),,,,,
Rock & Roll Years,1991,Louise Criscenti,Lonely Hearts Club ,Saxaphone,Fun Fun Fun/ Da Do Ron Ron(The Pepperonis + Lonely),,,,,
Rock & Roll Years,1991,Laurie Ruggles,Lonely Hearts Club ,Saxaphone,The Locomotin (The Pepperonis + Lonely Herts Club Ba),,,,,
Rock & Roll Years,1991,Gareth Evans-Jones,Lonely Hearts Club ,Lead Vocals,Space Odity (Keith Roome + Lonely Herts Club Band),,,,,
Rock & Roll Years,1991,Paul Griffiths,Lonely Hearts Club ,Lead Vocals,Elvis Medley (Billy Gallacher + Lonely Herts Club Band),,,,,
Rock & Roll Years,1991,Keith Roome,Lonely Hearts Club ,Lead Vocals,"Sgt. Pepper (All Vocalists, Bands, BYT, Schools)",,,,,
Rock & Roll Years,1991,Lucy Byron,Lonely Hearts Club ,Lead Vocals,Bridge Over Troubled Water (Gareth Evans/Lucy Byron),,,,,
Rock & Roll Years,1991,Billy Gallagher,Lonely Hearts Club ,Lead Vocals,Barbara Anne (Lonely Herts Club Band + Cast),,,,,
Rock & Roll Years,1991,Paul Gallagher,Lonely Hearts Club ,Lead Vocals,,,,,,
Rock & Roll Years,1991,Benny Mitchell,Lonely Hearts Club ,Lead Vocals,,,,,,
Rock & Roll Years,1991,,BYT,Vocals,,,,,,
Rock & Roll Years,1991,,Victoria School,Combined Vocals/ Orchestra,,,,,,
Rock & Roll Years,1991,,Swing Gate School,Combined Vocals/ Orchestra,,,,,,
Rock & Roll Years,1991,,Thomas Coram,Combined Vocals/ Orchestra,,,,,,
Rock & Roll Years,1991,,Bridgewater School,Combined Vocals/ Orchestra,,,,,,
Rock & Roll Years,1991,,Ashlyns School,Vocals/ Band,,,,,,
Rock & Roll Years,1991,JFK Sixth Former,Fortunes Child,Lead Vocals/Harmonica,,,,,,
Rock & Roll Years,1991,JFK Sixth Former,Fortunes Child,Bass Guitar,,,,,,
Rock & Roll Years,1991,JFK Sixth Former,Fortunes Child,Guitar,,,,,,
Rock & Roll Years,1991,JFK Sixth Former,Fortunes Child,Keyboards,,,,,,
Rock & Roll Years,1991,JFK Sixth Former,Fortunes Child,Drums,,,,,,
Rock & Roll Years,1991,Martin,Don't Forget,Lead Vocals,,,,,,
Rock & Roll Years,1991,Tim,Don't Forget,Bass Guitar,,,,,,
Rock & Roll Years,1991,Julian ,Don't Forget,Lead Guitar,,,,,,
Rock & Roll Years,1991,Chris,Don't Forget,Drums,,,,,,
Rock & Roll Years,1991,Graham Wright ,Rats Patoot,Bass Guitar,,,,,,
Rock & Roll Years,1991,Alan Culley,Rats Patoot,Drums,,,,,,
Rock & Roll Years,1991,Steve Pearce,Rats Patoot,Guitar/Vocals,,,,,,
Rock & Roll Years,1991,Jez,Rats Patoot,Saxaphone/Harmonica,,,,,,
Rock & Roll Years,1991,Fergus McAllister V11,The Odd Eccentric,Guitar,,,,,,
Rock & Roll Years,1991,Monsieur Popeye Le T,The Odd Eccentric,Bass Guitar,,,,,,
Rock & Roll Years,1991,The Inscruitible Mags,The Odd Eccentric,Drums,,,,,,
Rock & Roll Years,1991,Jan Ladislav Dussek,The Odd Eccentric,Keyboards,,,,,,
Rock & Roll Years,1991,Paul Eccentric ,The Odd Eccentric,Vocals,,,,,,
Rock & Roll Years,1991,Kinkeabelle Blue,The Odd Eccentric,Vocals,,,,,,
Rock & Roll Years,1991,Tingle Taboo ,The Odd Eccentric,Vocals,,,,,,
Rock & Roll Years,1991,Kate Davies,,Vocalists,,,,,,
Rock & Roll Years,1991,Amy Horsfall,,Vocalists,,,,,,
Rock & Roll Years,1991,Anna King,,Vocalists,,,,,,
Rock & Roll Years,1991,Sarah Purr,,Vocalists,,,,,,
Rock & Roll Years,1991,Sandra Robb,,Vocalists,,,,,,
Rock & Roll Years,1991,Theresa Rolfe,,Vocalists,,,,,,
Rock & Roll Years,1991,Anna Rowe,,Vocalists,,,,,,
Rock & Roll Years,1991,Janet Tucker,,Vocalists,,,,,,
Rock & Roll Years,1991,Colin Dealey,,Vocalists,,,,,,
Rock & Roll Years,1991,Simon Rosser,,Vocalists,,,,,,
Rock & Roll Years,1991,Benny Mitchell,,Vocalists,,,,,,
Rock & Roll Years,1991,Graham Paterson,,Vocalists,,,,,,
Rock & Roll Years,1991,Keith Roome ,,Vocalists,,,,,,
Rock & Roll Years,1991,Richard Waterhous,,Vocalists,,,,,,
Rock & Roll Years,1991,The Pepperonis,,Vocalists,,,,,,
Rock & Roll Years,1991,Zoe Thompson ,,Vocalists,,,,,,
Rock & Roll Years,1991,Heather Powell  ,,Vocalists,,,,,,
Rock & Roll Years,1991,Sarah Lynch  ,,Vocalists,,,,,,
Rock & Roll Years,1991,Karen Lilley  ,,Vocalists,,,,,,
Rock & Roll Years,1991,Jenny Griffin  ,,Vocalists,,,,,,
Rock & Roll Years,1991,,,,,,,,,
Rock & Roll Years,1991,Matthew Minors  ,BYT,,,,,,,
Rock & Roll Years,1991,Mark Paterson,BYT,,,,,,,
Rock & Roll Years,1991,Peter Gordon,BYT,,,,,,,
Rock & Roll Years,1991,Daniel Humble,BYT,,,,,,,
Rock & Roll Years,1991,James Bennett,BYT,,,,,,,
Rock & Roll Years,1991,Ross Kenny,BYT,,,,,,,
Rock & Roll Years,1991,Lucy Horsfall,BYT,,,,,,,
Rock & Roll Years,1991,Nicolle Lennon  ,BYT,,,,,,,
